key,x,y
00C056,645.1535,4674.3896
00C057,639.5146,4676.2669
00C058,639.5887,4676.3803
00C059,639.6691,4676.4638
00C060,639.7132,4677.035
00C061,644.7623,4672.327
00C062,644.7184,4671.5652
00C063,644.5758,4671.75
00C064,645.2876,4676.0062
00C065,646.0065,4681.6761
00C066,645.9322,4681.738
00C067,646.7896,4681.6967
00C068,647.2674,4681.393
00C069,647.192,4681.3095
00C070,647.0973,4681.2171
00C071,647.0234,4681.1361
00C072,647.1968,4681.1608
00C073,647.3353,4681.4975
00C074,647.3821,4681.6044
00C075,647.0935,4681.7992
00C076,647.0229,4681.8649
00C077,646.8435,4681.8521
00C078,646.8653,4681.9438
00C079,646.3181,4682.254
00C080,646.6978,4682.2638
00C081,646.7392,4682.3693
00C082,647.4514,4681.698
00C083,647.5566,4681.8241
00C084,647.5264,4681.6359
00C085,647.6058,4681.9229
00C086,647.4493,4681.5387
00C087,647.2192,4682.6258
00C088,646.5328,4683.0687
00C089,646.6574,4683.0662
00C090,647.3738,4682.7029
00C091,647.7401,4682.5876
00C092,647.4472,4682.7974
00C093,647.852,4683.1918
00C094,648.2965,4683.023
00C095,648.6123,4683.3806
00C096,648.5644,4683.2994
00C097,648.5124,4683.338
00C098,648.4768,4683.1548
00C099,648.4093,4683.2456
00C100,648.1808,4682.0444
00C101,648.2913,4681.9022
00C102,648.0754,4681.8249
00C103,648.0367,4681.772
00C104,647.7896,4681.5041
00C105,647.2119,4680.5684
00C106,645.6377,4678.4101
00C107,645.164,4679.1396
00C108,646.2352,4678.1744
00C109,646.2282,4677.0738
00C110,646.2824,4677.1774
00C111,646.2237,4677.1939
00C112,647.2626,4679.0255
00C113,647.3275,4679.0748
00C114,647.2341,4679.2468
00C115,648.6418,4680.6649
00C116,649.0019,4684.1587
00C117,648.9912,4684.2422
00C118,648.7933,4684.3284
00C119,647.0672,4685.604
00C120,649.3091,4684.6837
00C121,649.3623,4684.7219
00C122,649.486,4684.6254
00C123,649.5494,4684.6134
00C124,649.6706,4684.6521
00C125,646.4899,4686.9292
00C126,646.6922,4686.6643
00C127,649.8193,4684.7118
00C128,648.7518,4685.8459
00C129,648.779,4685.9772
00C130,648.9289,4685.9554
00C131,636.8974,4675.5242
00C132,633.1406,4673.856
00C133,633.0778,4673.8926
00C134,632.0626,4673.9438
00C135,632.4842,4674.2328
00C136,631.5743,4674.2299
00C137,631.1902,4674.2141
00C138,631.4221,4674.3138
00C139,630.9706,4674.0286
00C140,630.9068,4674.0516
00C141,630.9944,4674.1967
00C142,630.9046,4674.0062
00C143,631.2354,4674.0581
00C145,632.9269,4673.7956
00C146,631.2651,4673.3951
00C147,630.7271,4674.5431
00C148,630.0991,4675.3721
00C149,630.1546,4675.4716
00C150,631.1051,4673.7003
00C151,630.4526,4673.0243
00C152,630.9222,4673.1994
00C153,630.9891,4673.1791
00C154,631.0286,4673.1224
00C155,631.1342,4673.0255
00C156,630.8761,4672.6309
00C157,630.975,4672.4186
00C158,630.9799,4672.3162
00C159,631.0466,4672.579
00C160,631.178,4672.559
00C161,631.078,4672.5314
00C162,630.9503,4672.2142
00C163,630.9039,4672.134
00C164,631.0329,4672.1973
00C165,631.4118,4672.8977
00C166,631.301,4672.0371
00C167,632.3703,4671.7697
00C168,632.2058,4671.7239
00D001,644.5233,4677.3961
00D002,644.3339,4677.5364
00D003,644.2361,4677.7181
00D004,644.4858,4677.8574
00D005,644.1067,4677.5033
00D006,644.2853,4677.3945
00D007,644.0546,4676.926
00D008,644.2191,4676.7603
00D009,644.2147,4676.6853
00D010,644.1905,4676.6528
00D011,644.2328,4676.7192
00D012,643.9333,4676.3722
00D013,643.804,4675.783
00D014,643.7086,4675.8576
00D015,643.7156,4675.9142
00D016,643.8193,4675.8313
00D017,645.2541,4676.7929
00D018,645.1909,4676.7305
00D019,644.1038,4676.3246
00D020,642.0903,4678.4332
00D021,641.0459,4678.367
00D022,640.6496,4677.0905
00D023,640.1766,4676.719
00D024,640.0804,4676.5174
00D025,639.7163,4676.1803
00D026,639.885,4676.0906
00D027,639.9606,4676.3378
00D028,640.0757,4676.1095
00D029,640.8451,4678.5124
00D030,638.3131,4677.8184
00D031,638.3324,4678.3995
00D032,638.2474,4677.996
00D033,640.6391,4678.4416
00D034,634.585,4681.3663
00D035,635.6765,4681.7211
00D036,635.6388,4681.5376
00D037,636.3708,4683.4133
00D038,636.3361,4682.8813
00D039,636.3146,4682.7232
00D040,636.0327,4682.1595
00D041,637.8351,4681.2815
00D042,641.3551,4680.7502
00D043,641.4653,4680.9754
00D044,640.6602,4682.0614
00D045,641.535,4681.2217
00D046,640.9477,4683.8309
00D047,643.0799,4682.8241
00D048,643.5557,4682.6006
00D049,643.4614,4682.6828
00D050,644.0458,4682.4404
00D051,643.4724,4682.834
00D052,644.7921,4682.5624
00D054,633.0968,4687.3317
00D055,629.5025,4686.3558
00D056,632.2656,4687.8501
00D057,632.2004,4687.0751
00D058,631.6964,4687.1941
00D059,631.5418,4687.1072
00D060,631.3807,4687.0263
00D061,651.172,4684.9265
00D062,641.2189,4668.864
00D063,641.5511,4668.56
00D064,641.615,4668.5575
00D065,641.4878,4668.5515
00D066,631.4147,4686.9457
00D067,631.255,4686.9995
00D068,631.2961,4686.893
00D069,631.5035,4686.9198
00D070,631.413,4686.8865
